OFNS_DESC,PD_DESC,LAW_CAT_CD,BORO_NM,Longitude,Latitude,TIME
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.000865993,40.623175451,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.000865993,40.623175451,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.99943228,40.622829609,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.99901078100001,40.624965054,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.99901078100001,40.624965054,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.99978170899999,40.620771016,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.002713762,40.617954827,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.005105327,40.615651864,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.005105327,40.615651864,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.005105327,40.615651864,2016-01-01 00:01:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-74.006852074,40.613974704,2016-01-01 00:01:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,BRONX,-73.898688921,40.847163133,2016-01-30 15:12:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BRONX,-73.870198448,40.842375266,2016-01-31 13:20:00
PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",MISDEMEANOR,BRONX,-73.921752525,40.834953399,2016-01-12 00:01:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-73.954750345,40.775772829,2016-01-01 00:00:00
PETIT LARCENY,"LARCENY,PETIT FROM AUTO",MISDEMEANOR,BROOKLYN,-74.009513443,40.611413622,2016-01-31 13:00:00
PETIT LARCENY,"LARCENY,PETIT FROM TRUCK",MISDEMEANOR,BROOKLYN,-73.94128990899999,40.661417297,2016-01-28 10:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BRONX,-73.909437335,40.813318753000004,2016-01-20 11:00:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.884448642,40.676198799,2016-01-01 08:00:00
OFF. AGNST PUB ORD SENSBLTY &,FALSE REPORT UNCLASSIFIED,MISDEMEANOR,QUEENS,-73.875603018,40.756594678,2016-01-31 16:30:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.973171916,40.684877773000004,2016-01-27 10:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,QUEENS,-73.866511281,40.691429359000004,2016-01-31 15:00:00
GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",FELONY,QUEENS,-73.827508273,40.693043588,2016-01-27 12:55:00
PETIT LARCENY,"LARCENY,PETIT OF BICYCLE",MISDEMEANOR,QUEENS,-73.907249614,40.726687484,2016-01-25 00:15:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,QUEENS,-73.831676125,40.760488563,2016-01-30 17:40:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-73.942123003,40.797952861,2016-01-01 10:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-73.939407339,40.821344747,2016-01-30 11:17:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",MISDEMEANOR,BRONX,-73.89710062399999,40.855181758,2016-01-29 19:00:00
PETIT LARCENY,"LARCENY,PETIT FROM AUTO",MISDEMEANOR,BROOKLYN,-73.91785033800001,40.699763917,2016-01-29 13:00:00
PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,-73.931611484,40.84843619,2016-01-27 10:30:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,BROOKLYN,-73.94273044399999,40.650233035,2016-01-26 00:01:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.87604872600001,40.676129671,2016-01-01 12:00:00
INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",MISDEMEANOR,STATEN ISLAND,-74.162383233,40.607195834,2016-01-28 04:30:00
PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",MISDEMEANOR,QUEENS,-73.754601816,40.692661448,2016-01-27 09:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BRONX,-73.867486153,40.861354575,2016-01-27 07:39:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,MANHATTAN,-73.98210072399999,40.774237779,2016-01-26 18:45:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-73.980579509,40.716463291,2016-01-26 13:35:00
GRAND LARCENY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",FELONY,BRONX,-73.927071844,40.812011043000005,2016-01-25 22:00:00
FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,BROOKLYN,-73.877992336,40.644366377,2016-01-25 22:00:00
GRAND LARCENY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",FELONY,BROOKLYN,-73.885352922,40.666071469,2016-01-25 20:00:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",MISDEMEANOR,QUEENS,-73.85814336199999,40.687291209,2016-01-25 19:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.91716364,40.62838542,2016-01-25 13:28:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BROOKLYN,-73.993422952,40.666718534,2016-01-15 23:30:00
CRIMINAL TRESPASS,"TRESPASS 2, CRIMINAL",MISDEMEANOR,QUEENS,-73.905386456,40.707401268000005,2016-01-04 10:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,MANHATTAN,-73.935216052,40.851213168,2016-01-02 18:55:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,MANHATTAN,-73.947327824,40.783910564,2016-01-25 17:05:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,-73.991549804,40.685138597,2016-01-25 14:16:00
GRAND LARCENY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",FELONY,BROOKLYN,-73.89424665199999,40.683547751999996,2016-01-25 13:00:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",MISDEMEANOR,BROOKLYN,-73.963313165,40.712811295,2016-01-24 22:30:00
CRIMINAL MISCHIEF & RELATED OF,"TAMPERING 1,CRIMINAL",FELONY,MANHATTAN,-73.990200647,40.714060101,2016-01-16 04:50:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-73.94527972600001,40.802293818,2016-01-14 16:45:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,QUEENS,-73.82963795,40.758558753,2016-01-01 19:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.817597974,40.732874108000004,2016-01-24 16:20:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,MANHATTAN,-73.945903325,40.781640008000004,2016-01-24 07:40:00
BURGLARY,"BURGLARY,RESIDENCE,DAY",FELONY,BRONX,-73.917684942,40.880457729,2016-01-24 07:40:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,MANHATTAN,-74.007125746,40.714554354,2016-01-16 19:16:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.834590443,40.707650681,2016-01-22 14:10:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,QUEENS,-73.927139959,40.769588504,2016-01-20 01:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-74.000420103,40.748616987,2016-01-21 11:23:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-74.000420103,40.748616987,2016-01-21 11:23:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",MISDEMEANOR,BROOKLYN,-73.963231279,40.652000822,2016-01-20 20:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.97708823100001,40.609677022,2016-01-20 09:00:00
GRAND LARCENY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",FELONY,STATEN ISLAND,-74.198526147,40.5195905,2016-01-01 09:00:00
PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,-73.983760692,40.748110809,2016-01-20 11:00:00
DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BRONX,-73.867810898,40.850754897,2016-01-20 02:32:00
GRAND LARCENY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",FELONY,BROOKLYN,-73.943103586,40.601455535999996,2016-01-10 12:00:00
VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,MISDEMEANOR,BROOKLYN,-73.90317537199999,40.655309091999996,2016-01-19 22:20:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,-73.986543214,40.748407601,2016-01-19 21:05:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.893495579,40.661671176999995,2016-01-01 08:00:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.894528875,40.664685899,2016-01-01 08:00:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,BRONX,-73.85718151100001,40.836708519,2016-01-01 00:01:00
BURGLARY,"BURGLARY,COMMERCIAL,NIGHT",FELONY,MANHATTAN,-73.96635808399999,40.76187469,2016-01-18 18:30:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,QUEENS,-73.749762511,40.694572374,2016-01-15 00:00:00
UNAUTHORIZED USE OF A VEHICLE,UNAUTHORIZED USE VEHICLE 3,MISDEMEANOR,QUEENS,-73.77623390699999,40.679980738000005,2016-01-14 14:00:00
GRAND LARCENY,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",FELONY,MANHATTAN,-73.980584741,40.723270296,2016-01-07 12:00:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,STATEN ISLAND,-74.143194775,40.617289263,2016-01-01 07:00:00
DANGEROUS DRUGS,"MARIJUANA, POSSESSION 1, 2 & 3",FELONY,BRONX,-73.888789897,40.866076000999996,2016-01-17 14:30:00
BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI",FELONY,BROOKLYN,-73.87714785,40.682246211999995,2016-01-16 03:45:00
OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,MISDEMEANOR,STATEN ISLAND,-74.169715137,40.636694553000005,2016-01-16 01:50:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,BRONX,-73.911862306,40.875367515,2016-01-13 18:33:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,-73.989327785,40.691009478000005,2016-01-22 22:40:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,-73.92961134,40.658396974,2016-01-15 10:30:00
GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF AUTO",FELONY,BRONX,-73.898446511,40.814176928,2016-01-14 19:00:00
GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF AUTO",FELONY,STATEN ISLAND,-74.143076904,40.632877097,2016-01-13 10:00:00
ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,BROOKLYN,-73.93334968,40.66122358,2016-01-13 23:45:00
DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,POSSESS.",FELONY,BRONX,-73.909041119,40.862687571,2016-01-13 16:10:00
DANGEROUS DRUGS,"MARIJUANA, SALE 1, 2 & 3",FELONY,BROOKLYN,-73.94896921899999,40.658794204,2016-01-12 22:40:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,QUEENS,-73.908605728,40.71123556,2016-01-12 15:30:00
GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",FELONY,QUEENS,-73.768691719,40.718362505,2016-01-12 10:35:00
GRAND LARCENY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",FELONY,BRONX,-73.917688689,40.816088874,2016-01-02 00:00:00
DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,INTENT TO",FELONY,BRONX,-73.884662621,40.879757004,2016-01-12 14:15:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.740319798,40.717242525,2016-01-12 14:00:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,BRONX,-73.85971669,40.875247292,2016-01-12 01:55:00
POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY-MOTOR VEH 2ND,",FELONY,QUEENS,-73.80065015699999,40.671332905,2016-01-11 19:59:00
PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",MISDEMEANOR,BRONX,-73.872103186,40.827300675,2016-01-09 10:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BROOKLYN,-73.979894622,40.666936548,2016-01-08 10:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.867025036,40.762900759000004,2016-01-01 09:00:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,BROOKLYN,-74.02728485600001,40.622153897,2016-01-11 13:40:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,MANHATTAN,-73.94981215199999,40.788753381999996,2016-01-11 08:45:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BRONX,-73.865588097,40.859601259,2016-01-10 15:15:00
DANGEROUS DRUGS,"MARIJUANA, POSSESSION 4 & 5",MISDEMEANOR,BROOKLYN,-73.99674915199999,40.611059891,2016-01-10 13:45:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",FELONY,BROOKLYN,-73.919762571,40.65713067,2016-01-08 22:03:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,MANHATTAN,-73.935937162,40.849349916,2016-01-05 10:25:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,-74.004305549,40.724850088000004,2016-01-09 22:30:00
MISCELLANEOUS PENAL LAW,RECKLESS ENDANGERMENT 1,FELONY,BRONX,-73.875955258,40.829113652,2016-01-09 15:48:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,QUEENS,-73.838224562,40.681561285,2016-01-09 12:45:00
INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",MISDEMEANOR,BRONX,-73.897519095,40.844005684,2016-01-09 02:20:00
GRAND LARCENY,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",FELONY,BROOKLYN,-73.91170236,40.658159548,2016-01-01 08:00:00
FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",FELONY,BROOKLYN,-73.919703735,40.661096839,2016-01-08 15:55:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.959418937,40.692586551,2016-01-08 13:00:00
ROBBERY,"ROBBERY,DWELLING",FELONY,BROOKLYN,-73.949308452,40.639246001,2016-01-07 11:00:00
GRAND LARCENY,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",FELONY,MANHATTAN,-73.99140739100001,40.755025653000004,2016-01-07 19:42:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,STATEN ISLAND,-74.106290701,40.575498545,2016-01-07 15:30:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",MISDEMEANOR,BROOKLYN,-73.935374305,40.684604744,2016-01-07 14:44:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,-73.935311684,40.652518252,2016-01-07 12:40:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,STATEN ISLAND,-74.158819985,40.589946983000004,2016-01-07 21:30:00
DANGEROUS DRUGS,"CONTROLLED SUBSTANCE, POSSESSI",MISDEMEANOR,MANHATTAN,-73.951855544,40.824518020999996,2016-01-06 17:55:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,QUEENS,-73.88241312699999,40.765371295,2016-01-06 15:00:00
OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,MISDEMEANOR,BRONX,-73.913886515,40.828467524000004,2016-01-06 14:00:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,BROOKLYN,-73.984135667,40.689016177,2016-01-06 10:55:00
PETIT LARCENY,"LARCENY,PETIT FROM TRUCK",MISDEMEANOR,BROOKLYN,-73.949362907,40.662450426,2016-01-06 09:50:00
MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,FELONY,BROOKLYN,-73.943070783,40.711729862,2016-01-06 09:30:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,-73.918948039,40.701625648000004,2016-01-06 09:00:00
ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",MISDEMEANOR,BRONX,-73.917952914,40.842062306,2016-01-05 22:30:00
GRAND LARCENY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",FELONY,MANHATTAN,-73.989036972,40.771021814,2016-01-05 09:35:00
INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",MISDEMEANOR,QUEENS,-73.78563699,40.762904331,2016-01-05 23:15:00
DANGEROUS WEAPONS,WEAPONS POSSESSION 3,FELONY,BRONX,-73.891678957,40.857010257,2016-01-05 20:30:00
FELONY ASSAULT,STRANGULATION 1ST,FELONY,BRONX,-73.907683759,40.814376825,2016-01-05 18:30:00
VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,MISDEMEANOR,BRONX,-73.91760185,40.810360575,2016-01-05 17:15:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,MANHATTAN,-73.982230032,40.77674649,2016-01-05 15:25:00
GRAND LARCENY,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",FELONY,MANHATTAN,-73.97561465300001,40.749193549,2016-01-05 14:25:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,MANHATTAN,-73.98616772300001,40.749121191,2016-01-05 10:45:00
DANGEROUS DRUGS,"CONTROLLED SUBSTANCE,INTENT TO",FELONY,BRONX,-73.89264895,40.845079926,2016-01-05 05:20:00
GRAND LARCENY,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",FELONY,MANHATTAN,-73.986122517,40.758228256,2016-01-04 22:59:00
